rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z
1690461928463467594,,812,,1690461928,463403815,"""world""",,,3.365217685699463,13.200450897216797,-0.02108498103916645
1690461928473490210,,813,,1690461928,473439537,"""world""",,,3.365205764770508,13.200414657592773,-0.021095559000968933
1690461928493999784,,814,,1690461928,493399090,"""world""",,,3.3652150630950928,13.200431823730469,-0.021100688725709915
1690461928494004929,,815,,1690461928,493410943,"""world""",,,3.3652095794677734,13.200437545776367,-0.02107563056051731
1690461928503498359,,816,,1690461928,503405760,"""world""",,,3.3652143478393555,13.200425148010254,-0.021089499816298485
1690461928523526089,,817,,1690461928,523443830,"""world""",,,3.365203857421875,13.20041275024414,-0.02108490839600563
1690461928523533384,,818,,1690461928,523464108,"""world""",,,3.3652191162109375,13.200421333312988,-0.021091165021061897
1690461928533456634,,819,,1690461928,533399268,"""world""",,,3.3652074337005615,13.200432777404785,-0.021085260435938835
1690461928543452367,,820,,1690461928,543394866,"""world""",,,3.3652265071868896,13.200441360473633,-0.02108151465654373
1690461928553458755,,821,,1690461928,553403244,"""world""",,,3.3652029037475586,13.200419425964355,-0.02109438180923462
1690461928563610619,,822,,1690461928,563407070,"""world""",,,3.3652117252349854,13.200427055358887,-0.02108229137957096
1690461928573459242,,823,,1690461928,573397812,"""world""",,,3.365215301513672,13.200425148010254,-0.021085770800709724
1690461928583489435,,824,,1690461928,583389187,"""world""",,,3.365208387374878,13.200419425964355,-0.021094191819429398
1690461928593465812,,825,,1690461928,593390651,"""world""",,,3.3652048110961914,13.20042896270752,-0.02109331078827381
1690461928613520340,,826,,1690461928,613429172,"""world""",,,3.365224599838257,13.20042610168457,-0.02109755575656891
1690461928613524248,,827,,1690461928,613442279,"""world""",,,3.3652026653289795,13.20042896270752,-0.021110977977514267
1690461928623500708,,828,,1690461928,623427898,"""world""",,,3.365215539932251,13.200410842895508,-0.021091066300868988
1690461928643513198,,829,,1690461928,643448094,"""world""",,,3.3652184009552,13.200414657592773,-0.02111157961189747
1690461928643518190,,830,,1690461928,643458748,"""world""",,,3.3652069568634033,13.200438499450684,-0.021096834912896156
1690461928653480246,,831,,1690461928,653426403,"""world""",,,3.365219831466675,13.200435638427734,-0.02108381688594818
1690461928673492365,,832,,1690461928,673398412,"""world""",,,3.3652117252349854,13.200422286987305,-0.02109544351696968
1690461928673502876,,833,,1690461928,673413391,"""world""",,,3.3651959896087646,13.200417518615723,-0.021089646965265274
1690461928683475202,,834,,1690461928,683386853,"""world""",,,3.3652102947235107,13.200430870056152,-0.021087322384119034
1690461928703535316,,835,,1690461928,703393867,"""world""",,,3.365211009979248,13.200423240661621,-0.02107764407992363
1690461928703544606,,836,,1690461928,703404709,"""world""",,,3.3652143478393555,13.20041561126709,-0.02109428681433201
1690461928713460327,,837,,1690461928,713393528,"""world""",,,3.3652141094207764,13.200422286987305,-0.021078478544950485
1690461928733462614,,838,,1690461928,733397124,"""world""",,,3.365224599838257,13.200423240661621,-0.021091077476739883
1690461928733469208,,839,,1690461928,733409005,"""world""",,,3.3652262687683105,13.200417518615723,-0.02109426259994507
1690461928743502763,,840,,1690461928,743411515,"""world""",,,3.365216016769409,13.200403213500977,-0.021100003272294998
1690461928763540897,,841,,1690461928,763447932,"""world""",,,3.365222454071045,13.20042610168457,-0.021108917891979218
1690461928763548267,,842,,1690461928,763486318,"""world""",,,3.365219831466675,13.200435638427734,-0.02108170837163925
1690461928773513397,,843,,1690461928,773399139,"""world""",,,3.3652236461639404,13.200423240661621,-0.0211027842015028
1690461928793498582,,844,,1690461928,793433269,"""world""",,,3.365234375,13.200424194335938,-0.021099237725138664
1690461928793504136,,845,,1690461928,793449434,"""world""",,,3.365222454071045,13.200427055358887,-0.02109111100435257
1690461928803457784,,846,,1690461928,803395588,"""world""",,,3.3652172088623047,13.200420379638672,-0.021092893555760384
1690461928823483440,,847,,1690461928,823405907,"""world""",,,3.3652267456054688,13.200417518615723,-0.02110488899052143
1690461928823490384,,848,,1690461928,823424733,"""world""",,,3.365233898162842,13.20042610168457,-0.021114205941557884
1690461928833488737,,849,,1690461928,833398419,"""world""",,,3.3652217388153076,13.200422286987305,-0.021102100610733032
1690461928843439532,,850,,1690461928,843381910,"""world""",,,3.3652305603027344,13.200407981872559,-0.021105976775288582
1690461928853445864,,851,,1690461928,853391770,"""world""",,,3.365233898162842,13.200422286987305,-0.021106015890836716
1690461928863502047,,852,,1690461928,863432745,"""world""",,,3.365229845046997,13.200431823730469,-0.021092822775244713
1690461928873515549,,853,,1690461928,873426913,"""world""",,,3.3651981353759766,13.200430870056152,-0.021091150119900703
1690461928883502155,,854,,1690461928,883414297,"""world""",,,3.36521577835083,13.200423240661621,-0.021111931651830673
1690461928893468878,,855,,1690461928,893405475,"""world""",,,3.3652079105377197,13.200411796569824,-0.021091444417834282
1690461928903506763,,856,,1690461928,903423879,"""world""",,,3.3652238845825195,13.200434684753418,-0.02108876034617424
1690461928913462833,,857,,1690461928,913405325,"""world""",,,3.3652307987213135,13.200429916381836,-0.0211014486849308
1690461928923496217,,858,,1690461928,923440099,"""world""",,,3.3652243614196777,13.200414657592773,-0.02109265699982643
1690461928933462424,,859,,1690461928,933401274,"""world""",,,3.3652257919311523,13.200410842895508,-0.021109437569975853
1690461928943424578,,860,,1690461928,943381376,"""world""",,,3.365217685699463,13.20041275024414,-0.02111394889652729
1690461928953472076,,861,,1690461928,953388180,"""world""",,,3.365222454071045,13.200422286987305,-0.021103447303175926
