rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z
1691260356621012707,,11519,,1691260356,620915857,"""world""",,,2.1251158714294434,-2.327777862548828,0.30567666888237
1691260356670964558,,11520,,1691260356,670871517,"""world""",,,2.1232357025146484,-2.3329827785491943,0.30593520402908325
1691260356670977744,,11521,,1691260356,670885677,"""world""",,,2.121615409851074,-2.335055351257324,0.30420759320259094
1691260356680953153,,11522,,1691260356,680878396,"""world""",,,2.1209988594055176,-2.3361642360687256,0.3032144606113434
1691260356690968940,,11523,,1691260356,690865459,"""world""",,,2.1211113929748535,-2.3362860679626465,0.30335742235183716
1691260356700941636,,11524,,1691260356,700881477,"""world""",,,2.1204309463500977,-2.337726354598999,0.30259230732917786
1691260356710958299,,11525,,1691260356,710865826,"""world""",,,2.120105028152466,-2.3393707275390625,0.3020363450050354
1691260356721040565,,11526,,1691260356,720888136,"""world""",,,2.1198177337646484,-2.3396453857421875,0.3021497428417206
1691260356731000860,,11527,,1691260356,730903528,"""world""",,,2.1197447776794434,-2.3403778076171875,0.302272230386734
1691260356741098609,,11528,,1691260356,740917645,"""world""",,,2.1192121505737305,-2.3412110805511475,0.30214861035346985
1691260356800939552,,11529,,1691260356,800874937,"""world""",,,2.1071553230285645,-2.3514041900634766,0.29649877548217773
1691260356811035188,,11530,,1691260356,810865933,"""world""",,,2.1266961097717285,-2.3389463424682617,0.3121851980686188
1691260356820992103,,11531,,1691260356,820891923,"""world""",,,2.123506546020508,-2.339545726776123,0.3100740611553192
1691260356831028712,,11532,,1691260356,830913922,"""world""",,,2.123239755630493,-2.339477777481079,0.31066614389419556
1691260356841048208,,11533,,1691260356,840911923,"""world""",,,2.1228339672088623,-2.339284658432007,0.3109975755214691
1691260356850963881,,11534,,1691260356,850868613,"""world""",,,2.1234097480773926,-2.3380942344665527,0.3128768801689148
1691260356861060679,,11535,,1691260356,860914187,"""world""",,,2.1237380504608154,-2.3378257751464844,0.31398940086364746
1691260356871137430,,11536,,1691260356,870923570,"""world""",,,2.1123218536376953,-2.3508665561676025,0.30209457874298096
1691260356881093007,,11537,,1691260356,880896883,"""world""",,,2.123305320739746,-2.3381357192993164,0.31458473205566406
1691260356891001767,,11538,,1691260356,890917010,"""world""",,,2.123627185821533,-2.335970878601074,0.31727728247642517
1691260356900948329,,11539,,1691260356,900878311,"""world""",,,2.1234731674194336,-2.3389313220977783,0.31544020771980286
1691260356960963168,,11540,,1691260356,960887844,"""world""",,,2.1150243282318115,-2.3495569229125977,0.3086622357368469
1691260356970957542,,11541,,1691260356,970876296,"""world""",,,2.11677622795105,-2.3483314514160156,0.3106028437614441
1691260356980980818,,11542,,1691260356,980896066,"""world""",,,2.1224894523620605,-2.338207960128784,0.31997278332710266
1691260356991046534,,11543,,1691260356,990892900,"""world""",,,2.122650623321533,-2.337559223175049,0.32116758823394775
1691260357000908353,,11544,,1691260357,838434,"""world""",,,2.1236932277679443,-2.3361730575561523,0.3236101269721985
1691260357010942816,,11545,,1691260357,10862504,"""world""",,,2.12372088432312,-2.335639476776123,0.32473331689834595
1691260357020970446,,11546,,1691260357,20872109,"""world""",,,2.1235387325286865,-2.338928699493408,0.32249322533607483
1691260357040982063,,11547,,1691260357,40869843,"""world""",,,2.110266923904419,-2.3513522148132324,0.31060269474983215
1691260357070957197,,11548,,1691260357,70891792,"""world""",,,2.1239383220672607,-2.3439972400665283,0.32282599806785583
1691260357081675031,,11549,,1691260357,81016727,"""world""",,,2.1158151626586914,-2.3452236652374268,0.31786081194877625
1691260357090994110,,11550,,1691260357,90897373,"""world""",,,2.115638017654419,-2.345043420791626,0.31850457191467285
1691260357101101760,,11551,,1691260357,100896073,"""world""",,,2.1157383918762207,-2.3449509143829346,0.3192322850227356
1691260357110949058,,11552,,1691260357,110873486,"""world""",,,2.1159470081329346,-2.3450231552124023,0.3200380504131317
1691260357120940040,,11553,,1691260357,120873349,"""world""",,,2.1235222816467285,-2.339519739151001,0.3286784291267395
1691260357130974430,,11554,,1691260357,130891609,"""world""",,,2.1164820194244385,-2.344517469406128,0.32166001200675964
1691260357140965514,,11555,,1691260357,140876235,"""world""",,,2.116562604904175,-2.344468593597412,0.3226053714752197
1691260357150975008,,11556,,1691260357,150870993,"""world""",,,2.116236448287964,-2.3440630435943604,0.32347747683525085
1691260357160935443,,11557,,1691260357,160870045,"""world""",,,2.1177897453308105,-2.3438713550567627,0.3252842128276825
1691260357170958044,,11558,,1691260357,170880151,"""world""",,,2.120039463043213,-2.343498945236206,0.32732295989990234
1691260357180983856,,11559,,1691260357,180879303,"""world""",,,2.1164307594299316,-2.3437952995300293,0.3264242112636566
1691260357190986024,,11560,,1691260357,190869047,"""world""",,,2.1191184520721436,-2.3422069549560547,0.32984086871147156
1691260357200982842,,11561,,1691260357,200882561,"""world""",,,2.1248297691345215,-2.3374927043914795,0.33714422583580017
1691260357220988700,,11562,,1691260357,220886111,"""world""",,,2.1155636310577393,-2.3504092693328857,0.3288079798221588
1691260357241007651,,11563,,1691260357,240906858,"""world""",,,2.119631052017212,-2.341667413711548,0.3358317017555237
1691260357250969672,,11564,,1691260357,250896228,"""world""",,,2.119328737258911,-2.3416216373443604,0.3366405963897705
1691260357260941225,,11565,,1691260357,260873203,"""world""",,,2.120792865753174,-2.3426411151885986,0.33847576379776
1691260357270948120,,11566,,1691260357,270872831,"""world""",,,2.117969274520874,-2.342970609664917,0.3385946452617645
1691260357281027950,,11567,,1691260357,280878521,"""world""",,,2.1176199913024902,-2.3425803184509277,0.33987581729888916
